,Open,High,Low,Close
,28630.92,28630.92,28272.03,28294.28
,28373.02,28432.74,28179.34,28223.7
,28198.88,28378.56,28198.3,28292.81
,28423.14,28475.57,27719.92,27827.53
,27807.82,27955.21,27716.78,27865.96
,27997.29,28273.02,27919.89,28243.29
,28377.64,28404.7,28242.25,28334.55
,28425.74,28477.65,28188.9,28220.98
,28298.35,28328.56,28031.22,28106.21
,28129.22,28155.68,27964.91,28061.14
,28144.28,28216.64,28068.32,28082.34
,28042.62,28042.62,27563.84,27643.11
,27712.22,27763.54,27548.18,27673.6
,27776.14,27803.21,27488.3,27529.97
,27656.89,28064.39,27652.76,28050.88
,28112.36,28131.07,27926.17,27984.37
,28031.57,28212.5,28031.57,28129.84
,28163.41,28163.41,27957.92,28077.18
,28156.59,28256.65,28075.95,28179.08
,28159.09,28211.41,28013.69,28091.42
,28050.55,28050.55,27759.56,27836.51
,27808.63,27958.13,27665.6,27915.9
,27983.14,28000.14,27789.84,27941.51
,28066.32,28095.71,27890.14,27930.21
,27966.18,28029.8,27845.63,27876.61
,27679.32,27679.32,27500.81,27527.22
,27518.06,27600.74,27399.26,27430.28
,27465.55,27498.91,27193.61,27274.15
,27552.27,27591.15,27398.72,27458.99
,27537.26,27646.84,27406.76,27591.14
,26251.38,27397.38,25902.45,27252.53
,27605.05,27743.46,27457.05,27517.68
,27344.85,27344.85,26777.18,26818.82
,26809.61,26809.61,26253.63,26304.63
,26508.94,26621.4,26239.21,26298.69
,26304.9,26449.87,26155.4,26227.62
,26270.2,26349.02,26106.78,26150.24
,26246.7,26270.28,25717.93,25765.14
,25928.16,26039.7,25765.51,25960.78
,26101.33,26130.49,25877.16,26051.81
,26049.14,26049.14,25810.97,25860.17
,25953.24,26343.95,25874.45,26316.34
,26303.52,26413.99,26183.22,26350.17
,26408.62,26587.07,26354.66,26394.01
,26441.02,26680.55,26395.5,26652.81
,26756.66,26769.32,26540.82,26559.92
,26437.37,26463.06,26182.93,26230.66
,26253.48,26390.8,26125.35,26349.1
,26403.62,26502.43,26356.02,26392.76
,26456.21,26540.83,26164.82,26236.87
,26366.52,26733.87,26357.35,26694.28
,26787.14,26803.76,26707.81,26747.18
,26725.31,26725.31,26468.59,26515.24
,26607.65,26724.97,26494.23,26697.82
,26707.91,26736.34,26547.05,26602.84
,26497.71,26737.86,26407.58,26519.07
,26548.67,26594.55,26455.21,26489.56
,26505.66,26505.66,26340.38,26374.7
,26374.59,26435.56,26241.43,26307.98
,26368.88,26396,26213.51,26242.38
,26224.07,26248.45,25940.14,25979.6
,25959.99,26143.19,25872.38,26040.7
,25992.41,26008.57,25753.74,25807.1
,25815.43,26249.03,25803.19,26213.44
,26243.19,26415.05,26191.72,26210.68
,26429.41,26429.63,26166.67,26366.15
